:START_ID,:END_ID
2324351,7747451
1675443,8694276
2457043,6674954
1296678,5926305
935318,7435122
1308216,6233758
2446943,7433625
2567489,8183144
531077,8770324
2374205,7965903
288572,6029393
515732,8535040
2117085,6250154
941070,8073223
2151129,7427856
1171175,8183144
922315,7449621
1188039,1849235
2778459,8770324
639174,6265674
2570914,8073223
1472312,8839136
1249235,1849235
2650310,7070436
2583166,5970272
2811141,7113576
1739734,8284625
2516418,7671947
2531294,6535075
1637967,6485758
1295527,6676489
1045378,6091060
1366701,8694276
1090625,8060599
2044872,7174175
1127481,7838391
1172206,7705293
422440,7435122
211636,8371466
1398670,6769849
2153035,7420573
469538,8300855
1256498,7974716
2681921,7741543
693232,8073223
2707556,6863236
1644430,7191481
354863,1896869
72500,7250218
2445603,7098801
2507338,5960559
2828336,8577788
1091876,8770324
2633964,5999115
1703316,8466763
1807263,6863236
2299050,5999115
2093952,5868114
533978,6485758
2338938,8060599
1708645,6091060
2817756,8709343
1615765,5989038
1589845,8043600
735181,8283523
1594248,8577788
1129438,8073223
2078434,7174175
2566866,7055521
356233,8709343
1338053,6382726
2450443,5999115
1910316,8570044
2631568,8466763
1183999,8577438
1448325,7671947
1404370,8076114
869480,6413276
1965737,8060599
1076475,6511126
1684513,8110331
1083731,7974716
2353117,7814535
1096068,7076556
891759,6674954
1659053,7427856
564335,8308729
2466425,6265674
1648186,8100830
2253728,8694276
2804800,7863860
757308,6975514
1618580,1849235
2244005,6676489
1286416,1709128
2490122,7055521
2129076,8371466
1034387,7747451
1945932,8189885
746769,5970272
838655,7250218
497992,247460
796009,8120626
34565,6265674
217648,8189885
2809889,7814535
586031,6233758
1661608,8447365
873937,8371466
2215344,7411051
1723591,7420573
2654050,8466763
1116939,7704931
2045736,6030339
2298990,1849235
1787108,7414809
2821407,6674954
2248834,7671947
1430792,6485758
490326,8106148
1561641,6863236
1076646,7055521
879698,8183144
217910,8447365
2626940,7705293
115197,5970272
1994140,8469107
59110,7055521
467615,8189885
76342,8262957
47462,8060599
624236,7076556
2550502,8284625
1511893,8535040
1016328,8283523
288667,7449621
771291,6769849
540088,8201098
1825931,6871812
1864114,247460
434291,8106148
1972629,7043422
100726,6091060
1563258,8073223
1742531,6602818
790789,5868114
1021439,8853754
424105,7076556
554043,8060599
779560,1896869
2056182,1849235
1544112,7113576
2765590,8577438
528465,6382726
1986233,1896869
790888,5999115
752557,5998613
389293,6496298
937354,8535040
265766,8262957
2373220,8800869
1168035,7276854
850784,8060599
86255,6265674
323100,8201098
1444805,6413276
1184266,5989038
2302599,7427095
1219755,8060599
215990,8280556
1514450,6674954
1820767,5868114
894449,6091060
853885,7427095
2749940,8262957
2629602,7433625
2288084,7965903
1290937,8073223
1931441,7070436
545392,8694276
1586912,8484126
