:ID,author:string
8970840,Giuseppe Liotta
8970844,Micha Sharir
8970854,Jack Snoeyink
8970856,Martin E. Dyer
8970857,Nimrod Megiddo
8970858,Emo Welzl
8970860,Dinesh Manocha
8970861,Ming C. Lin
8970876,Pankaj K. Agarwal
8970877,David P. Dobkin
8970881,Martin Henk
8970912,William R. King
8970954,Yu Zhou
8970979,Rajiv Sabherwal
8971007,Guy A. Boy
8971095,Tarald O. Kvålseth
8971102,Sven Ove Hansson
8971194,Man-Lai Tang
8971198,Herbert K. H. Lee
8971225,John D. Storey
8971317,R. Dennis Cook
8971320,Graciela Boente
8971328,Boris Iglewicz
8971356,Xin He
8971442,Reinhard Viertl
8971546,Andreas N. Philippou
8971601,Daniel R. Jeske
8971640,Vincent J. Carey
8971699,Lior Rokach
8971746,Mitsunori Ogihara
8971752,Philip S. Yu
8971786,Alex Alves Freitas
8971794,Nada Lavrac
8971843,Sherry Y. Chen
8971844,Xiaohui Liu 0001
8971849,Pedro Antonio Gutiérrez
8971850,César Hervás
8971861,Marco Aurélio Cavalcanti Pacheco
8971875,Sanja Lazarova-Molnar
8971940,Mirjam Sepesy Maucec
8971941,Zdravko Kacic
8971949,Sara Rodríguez
8971968,Ioanna Roussaki
8971970,Miltiades E. Anagnostou
8972024,Ahmed Bouridane
8972060,Guanrong Chen
8972083,José Antonio Becerra
8972084,Richard J. Duro
8972135,Chai Quek
8972173,Yi Zhao
8972228,Erkki Oja
8972229,Alan Wee-Chung Liew
8972231,Hong Yan 0001
8972238,Rathindra Sarathy
8972290,David Simchi-Levi
8972308,Xiang-Yang Li 0001
8972310,Teofilo F. Gonzalez
8972325,Tarek F. Abdelzaher
8972330,Yang Zhao
8972337,Marco Caccamo
8972363,Francis Y. L. Chin
8972368,John A. Stankovic
8972381,Krishna M. Sivalingam
8972384,Rob van Stee
8972388,Cliff C. N. Sze
8972421,Vinod Sharma
8972446,Jean-Yves Le Boudec
8972450,Carlos Cotta
8972454,Robert M. French
8972458,Keqin Li 0001
8972461,Amitabh Varshney
8972466,Joachim Gudmundsson
8972509,Charles J. Alpert
8972578,Albert Y. Zomaya
8972587,Hussein T. Mouftah
8972588,Dimitris Grammenos
8972611,Insup Lee
8972619,Joel V. Brawley
8972634,Anne-Cécile Orgerie
8972645,Viktor K. Prasanna
8972656,Andreas Ermedahl
8972663,Matt Huenerfauth
8972664,Vicki L. Hanson
8972666,Daniel Hagimont
8972667,Laurent Broto
8972669,Noel De Palma
8972670,D. T. Lee
8972694,András Gyárfás
8972711,G. Drew Kessler
8972717,Boleslaw K. Szymanski
8972733,Kim S. Larsen
8972737,Andrew B. Kahng
8972738,Alexander Zelikovsky
8972739,Maurizio Patrignani
8972750,Christian Stary
8972753,Partha Pratim Pande
8972776,Enrico Pontelli
8972788,Eric P. Xing
8972806,Michael P. Wellman
8972808,Amy L. Murphy
8972828,Jianying Zhou 0001
8972832,Guy Even
8972833,Elisabeth André
8972839,George L. Nemhauser
8972853,Luca Benini
8972858,Prashant Saxena
8972879,Charles J. Colbourn
8972899,Michael A. Palis
8972903,Robert P. Brazile
8972904,Kathleen M. Swigger
8972912,Bamshad Mobasher
8972916,Stefano Leonardi
8972924,Ai-Chun Pang
8972939,Jack J. Dongarra
8972946,Michael F. Gorman 0001
8972955,Holger H. Hoos
8972956,Thomas Stützle
8972997,Bang Ye Wu
8973033,Sankar K. Pal
8973044,Bo Yao
8973045,Chung-Kuan Cheng
8973051,Zoubin Ghahramani
8973060,Eric Angel
8973086,Sivan Toledo
8973117,Ivan Stojmenovic
8973123,C. Pandu Rangan
8973128,Johnatan E. Pecero
8973131,Pascal Bouvry
8973185,Wojciech Rytter
8973198,Gilbert Laporte
8973207,Takao Nishizeki
8973208,Md. Saidur Rahman 0001
8973212,Evanthia Papadopoulou
8973215,Weili Wu 0001
8973226,Douglas B. West
8973227,Markus Endler
8973236,William I. Gasarch
8973237,Arto Salomaa
8973262,Wei Chen
8973277,Taisir E. H. El-Gorashi
8973278,Jaafar M. H. Elmirghani
8973292,David M. Blei
8973293,Michael I. Jordan
8973311,Sylvain Contassot-Vivier
8973313,Jacek Blazewicz
8973318,Taewhan Kim
8973333,Daniel J. Rosenkrantz
8973344,Andrew Sears
8973346,Andrew T. Campbell
8973347,Wei Lou
8973355,Marco Ajmone Marsan
8973360,Mario Gerla
8973364,Haim Kaplan
8973377,Fred W. Glover
8973397,Walter Didimo
8973439,Pei-Luen Patrick Rau
8973457,Jordan L. Boyd-Graber
8973485,Jeffrey Scott Vitter
8973499,Upkar Varshney
8973542,Danny Z. Chen
8973560,Stewart Robinson
8973561,Marianne Winslett
8973565,Xenophon Zabulis
8973572,Ladislav Stacho
8973576,Oscar H. Ibarra
8973601,Cagatay Basdogan
8973620,Hong Shen 0001
8973639,Christian Micheloni
8973640,Gian Luca Foresti
8973672,Muhammet Mustafa Ozdal
8973675,Jian Yang 0003
8973682,Dapeng Wu 0001
8973686,Franciszek Seredynski
8973692,Ulrik Brandes
8973716,Sachin Agarwal 0001
8973718,Fabio Casati
8973719,Yan Feng
8973732,Anish Arora
8973742,Pat Morin
8973760,Imrich Chlamtac
8973825,Michael Georgiades
8973836,Victor C. M. Leung
8973860,Mark de Berg
8973861,Bettina Speckmann
8973864,Jinho Lee
8973866,Hanan Samet
8973867,Wolfgang Nejdl
8973868,Peter Brusilovsky
8973873,Daowen Qiu
8973883,Yiran Chen
8973885,Yuan Xie 0001
8973930,Hui Chen
8973931,Weisong Shi
8973934,Lizhe Wang 0001
8973936,Paulo Ferreira 0001
8973945,Emilio Di Giacomo
8973951,David Kotz
